         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.453    0.045 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:418(draw)
   948/10    0.003    0.000    0.451    0.045 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:47(draw_wrapper)
       10    0.000    0.000    0.451    0.045 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:1268(draw)
    91369    0.034    0.000    0.448    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/_methods.py:31(_sum)
      643    0.008    0.000    0.447    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:336(motion_notify_event)
    26/10    0.000    0.000    0.444    0.044 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/image.py:120(_draw_list_compositing_images)
       16    0.000    0.000    0.444    0.028 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:2358(draw)
   303309    0.439    0.000    0.439    0.000 {method 'astype' of 'numpy.ndarray' objects}
    23520    0.439    0.000    0.439    0.000 {built-in method numpy.fft.fftpack_lite.cfftf}
      643    0.005    0.000    0.434    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:1961(motion_notify_event)
   301242    0.417    0.000    0.417    0.000 {built-in method numpy.core.multiarray.matmul}
    44046    0.079    0.000    0.388    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numeric.py:2157(identity)
      120    0.001    0.000    0.379    0.003 /Users/hjfreyer/src/RJMCMC/matlab.py:22(slepian)
      120    0.278    0.002    0.379    0.003 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/spectrum/mtm.py:231(dpss)
      663    0.003    0.000    0.351    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:1628(__init__)
