         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1206    0.003    0.000    0.010    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numerictypes.py:699(issubdtype)
 1126/563    0.003    0.000    0.010    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2485(inverted)
      462    0.001    0.000    0.010    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:3510(format_coord)
     2350    0.002    0.000    0.010    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:1999(_to_unmasked_float_array)
     1235    0.003    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:1053(set_linestyle)
     2222    0.001    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:901(<listcomp>)
     1091    0.001    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2840(round_)
     1235    0.002    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:1178(set_markerfacecoloralt)
     1590    0.001    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/re.py:286(_compile)
     8975    0.005    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/six.py:586(iteritems)
     1932    0.002    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:981(_normalize_font_family)
      271    0.001    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:702(_set_tickleft)
     2083    0.006    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:707(__hash__)
     1091    0.001    0.000    0.009    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2771(around)
       64    0.000    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:314(draw)
     2771    0.003    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:618(set_figure)
    25438    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.008    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/format.py:432(_filter_header)
      747    0.006    0.000    0.008    0.000 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:1334(nametowidget)
        1    0.000    0.000    0.008    0.008 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/format.py:283(_write_array_header)
       43    0.000    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/tokenize.py:492(_tokenize)
     1263    0.002    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:872(_update_property)
     1353    0.003    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2635(__init__)
     1815    0.001    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/_methods.py:28(_amin)
     1180    0.002    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2021(all)
       38    0.000    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/tokenize.py:152(_compile)
       38    0.000    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/re.py:231(compile)
      271    0.001    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:708(_set_tickright)
    60/10    0.000    0.000    0.008    0.001 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:2296(destroy)
      480    0.006    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/filter_design.py:3421(buttap)
        1    0.000    0.000    0.008    0.008 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/sre_compile.py:557(compile)
      239    0.001    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:722(_set_tickdown)
    15763    0.008    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/type_check.py:147(imag)
      619    0.002    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/stride_tricks.py:195(broadcast_arrays)
    11009    0.008    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/_weakrefset.py:70(__contains__)
      491    0.002    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:865(get_prop_tup)
4667/3124    0.002    0.000    0.008    0.000 {built-in method builtins.hash}
     2030    0.001    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:309(_set_artist_props)
      480    0.001    0.000    0.008    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/arraysetops.py:113(unique)
     4304    0.002    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:184(convert_xunits)
      966    0.002    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/function_base.py:5114(append)
     1466    0.002    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2323(amin)
       21    0.000    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:2180(_update_label_position)
     1548    0.001    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1778(transform)
      196    0.000    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:116(draw_markers)
       17    0.000    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:1768(add_line)
     2213    0.002    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:303(set_transform)
      196    0.006    0.000    0.007    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      652    0.002    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:37(_wrapit)
      548    0.001    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:797(new_gc)
      239    0.001    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:716(_set_tickup)
     2304    0.003    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2545(get_matrix)
      196    0.000    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2801(get_transformed_points_and_affine)
      230    0.001    0.000    0.007    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2787(_revalidate)
        8    0.000    0.000    0.007    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:946(_gen_axes_spines)
       32    0.000    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:489(linear_spine)
      480    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/arraysetops.py:256(_unique1d)
      655    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/shape_base.py:330(column_stack)
      548    0.002    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:859(__init__)
     1590    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1858(transform_affine)
      230    0.006    0.000    0.006    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      667    0.001    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:1319(get_axes)
       21    0.000    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1834(_update_label_position)
      462    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:3484(format_xdata)
     2470    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:1021(_split_drawstyle_linestyle)
    41781    0.006    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:723(get_animated)
      986    0.002    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:185(update)
     2325    0.006    0.000    0.006    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.006    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:667(destroy)
       42    0.000    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:656(set_locs)
      256    0.001    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:1862(_staircase)
      709    0.005    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:411(height)
      960    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/type_check.py:17(mintypecode)
     1235    0.002    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:638(set_data)
     1235    0.001    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:721(set_transform)
      211    0.000    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:510(_get_text2_transform)
     2170    0.003    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/enum.py:265(__call__)
      727    0.001    0.000    0.006    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:421(_get_axes)
     3877    0.003    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/six.py:583(itervalues)
     1777    0.002    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/colors.py:98(_is_nth_color)
     3840    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.correlate}
     2886    0.005    0.000    0.005    0.000 {method 'sort' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/spines.py:45(__init__)
      302    0.001    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1540(transform_path_non_affine)
       45    0.001    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:57(__init__)
       10    0.000    0.000    0.005    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:360(button_release_event)
      211    0.001    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:813(get_yaxis_text2_transform)
      515    0.002    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/path.py:170(_fast_from_codes_and_verts)
     8412    0.005    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:197(_assertRankAtLeast2)
      211    0.000    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:507(_get_text1_transform)
     4328    0.002    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:193(convert_yunits)
      960    0.002    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2456(prod)
     4320    0.005    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/_arraytools.py:9(axis_slice)
       10    0.000    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backend_bases.py:1936(button_release_event)
        4    0.005    0.001    0.005    0.001 {built-in method matplotlib._image.resample}
        1    0.000    0.000    0.005    0.005 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_axes.py:5007(imshow)
       42    0.000    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1783(_get_pixel_distance_along_axis)
       56    0.001    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/image.py:834(get_cursor_data)
      150    0.001    0.000    0.005    0.000 /Users/hjfreyer/src/RJMCMC/pipeline.py:294(CheckPrior)
    25440    0.005    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/fftpack.py:95(_unitary)
      195    0.000    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:385(_get_text1_transform)
      265    0.003    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:689(translated)
      211    0.001    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:786(get_yaxis_text1_transform)
       12    0.000    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:436(get_renderer)
      820    0.002    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2733(__init__)
      480    0.001    0.000    0.005    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:578(partition)
      186    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/random.py:283(sample)
      208    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:271(update_from)
      195    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:706(get_xaxis_text1_transform)
      735    0.002    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:78(as_list)
       32    0.000    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:710(_set_scale)
      526    0.000    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:717(__eq__)
     1289    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:54(_stale_figure_callback)
      147    0.001    0.000    0.004    0.000 /Users/hjfreyer/src/RJMCMC/pipeline.py:1181(Mahalanobis)
       32    0.000    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/scale.py:69(set_default_locators_and_formatters)
        1    0.000    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/sre_compile.py:542(_code)
    258/1    0.001    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/sre_compile.py:64(_compile)
      195    0.000    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:388(_get_text2_transform)
       34    0.000    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:398(_grab_next_args)
        1    0.004    0.004    0.004    0.004 {method 'tofile' of 'numpy.ndarray' objects}
      861    0.004    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:835(set_weight)
     9120    0.003    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numeric.py:1506(<genexpr>)
    15931    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
       17    0.000    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:353(_plot_args)
      780    0.002    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/text.py:851(get_unitless_position)
      128    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:1843(_validate_steps)
      368    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:602(update_position)
      854    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:800(set_family)
    25486    0.004    0.000    0.004    0.000 {method 'values' of 'collections.OrderedDict' objects}
     3840    0.003    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numeric.py:867(_mode_from_name)
      195    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:734(get_xaxis_text2_transform)
      240    0.002    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/fftpack/basic.py:146(_fix_shape)
      900    0.003    0.000    0.004    0.000 /Users/hjfreyer/src/RJMCMC/pipeline.py:305(_InBounds)
    21475    0.004    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:202(axes)
        1    0.000    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/colors.py:813(_init)
      120    0.003    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/function_base.py:3875(sinc)
  851/848    0.002    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1059(get_points)
        1    0.000    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/colors.py:320(to_rgba_array)
        1    0.000    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/colors.py:199(to_rgba_array)
  410/313    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/units.py:124(get_converter)
        1    0.000    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/sre_parse.py:844(parse)
     1552    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/re.py:169(match)
      861    0.003    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:871(set_size)
        2    0.000    0.000    0.004    0.002 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/colors.py:908(__call__)
      540    0.001    0.000    0.004    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:1007(make_rcparams_key)
     46/1    0.000    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/sre_parse.py:407(_parse_sub)
    175/1    0.001    0.000    0.004    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/sre_parse.py:470(_parse)
      507    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.ndarray' objects}
      522    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:343(xmin)
       17    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:1797(_update_line_limits)
      349    0.000    0.000    0.003    0.000 {method 'min' of 'numpy.ndarray' objects}
       29    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:2879(set_xlim)
       10    0.000    0.000    0.003    0.000 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:2481(create_image)
       10    0.000    0.000    0.003    0.000 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:2464(_create)
      520    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:979(update_from)
       68    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numeric.py:2260(isclose)
      292    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:479(update_position)
      115    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:725(<listcomp>)
       42    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:2135(_get_pixel_distance_along_axis)
       42    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/ticker.py:737(_set_format)
      960    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/_methods.py:34(_prod)
      876    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/artist.py:939(set_zorder)
      480    0.003    0.000    0.003    0.000 {method 'partition' of 'numpy.ndarray' objects}
      619    0.003    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/lib/stride_tricks.py:176(_broadcast_shape)
     2412    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numerictypes.py:631(issubclass_)
      508    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/font_manager.py:1118(score_family)
        5    0.003    0.001    0.003    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:86(__init__)
    14414    0.003    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/numerictypes.py:948(<listcomp>)
    12419    0.003    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:1939(get_matrix)
     1235    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:1006(set_linewidth)
       21    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1872(_update_offset_text_position)
      966    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1427(ravel)
    19818    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      486    0.000    0.000    0.003    0.000 {method 'max' of 'numpy.ndarray' objects}
     2600    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:63(_scale_dashes)
       42    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:920(<listcomp>)
      275    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/colors.py:142(_to_rgba_no_colorcycle)
     2584    0.001    0.000    0.003    0.000 <string>:12(__new__)
       18    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/gridspec.py:391(get_position)
        1    0.000    0.000    0.003    0.003 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/image.py:602(set_data)
     1163    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:2457(transform_non_affine)
        1    0.000    0.000    0.003    0.003 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:1348(safe_masked_invalid)
      115    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:726(<listcomp>)
      130    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:290(_set_facecolor)
    12486    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     1547    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/markers.py:226(set_fillstyle)
     4297    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x100f720e0}
     1655    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/lines.py:1201(set_xdata)
     1178    0.002    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:669(get_path)
        2    0.000    0.000    0.003    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/tight_layout.py:212(get_renderer)
     2382    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
      535    0.003    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:2756(_topmost_artist)
      250    0.000    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1484(convert_units)
      543    0.001    0.000    0.003    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/transforms.py:364(ymax)
